country_code,country_name,year,political_stability,energy_use_pc
DE,,1990,,4421.75298411525
DE,,1991,,4303.21110441046
DE,,1992,,4191.07717344268
DE,,1993,,4123.06429325007
DE,,1994,,4089.20711052609
DE,,1995,,4119.89234314538
DE,Germany,1996,1.28849947452545,4247.28041587343
DE,,1997,,4203.57228180046
DE,Germany,1998,1.24214780330658,4177.53862595182
DE,,1999,,4080.1161545149
DE,Germany,2000,1.41133570671082,4094.27901518469
DE,,2001,,4210.00080103251
DE,Germany,2002,1.09601747989655,4108.61729515583
DE,Germany,2003,0.577859222888947,4096.47794323132
DE,Germany,2004,0.638884365558624,4131.61083697
DE,Germany,2005,0.888915359973907,4109.8805864045
DE,Germany,2006,1.02506959438324,4235.93876578004
DE,Germany,2007,0.995823800563812,4023.73935857078
DE,Germany,2008,0.943830788135529,4081.87998694017
DE,Germany,2009,0.859902501106262,3821.62500577239
DE,Germany,2010,0.796834468841553,4029.83085754355
DE,Germany,2011,0.842218458652496,3891.87175356307
DE,Germany,2012,0.775621294975281,3913.43920397127
DE,Germany,2013,0.92798388004303,3986.18505186393
DE,Germany,2014,0.925186455249786,3794.44720253102
DE,Germany,2015,0.687514960765839,3780.85027551891
DE,Germany,2016,0.667541146278381,3765.21799936242
DE,Germany,2017,0.574381291866302,3763.19404182465
DE,Germany,2018,0.577865242958069,3659.22924485198
DE,Germany,2019,0.548539876937866,3570.88159282488
DE,Germany,2020,0.645049154758453,3349.19931383762
DE,Germany,2021,0.725788176059723,3467.03057027911
DE,Germany,2022,0.628491878509521,3237.71606625231
DE,Germany,2023,0.586989283561707,2906.74515947253
IN,,1990,,323.595830731166
IN,,1991,,331.222087309417
IN,,1992,,336.206818642044
IN,,1993,,339.038033254784
IN,,1994,,347.806182247067
IN,,1995,,361.640673294246
IN,India,1996,-0.972584128379822,367.704650910734
IN,,1997,,376.185592059812
IN,India,1998,-1.20082128047943,378.300390670302
IN,,1999,,392.976731815711
IN,India,2000,-1.00120759010315,394.916803104241
IN,,2001,,393.38088619861
IN,India,2002,-1.21066498756409,397.344252941148
IN,India,2003,-1.50999701023102,399.699897139001
IN,India,2004,-1.28043293952942,415.47995649887
IN,India,2005,-1.01388049125671,425.369642526643
IN,India,2006,-1.06518423557281,441.785886693878
IN,India,2007,-1.15429580211639,461.201738250187
IN,India,2008,-1.10970735549927,481.553027437162
IN,India,2009,-1.35554790496826,509.446000134302
IN,India,2010,-1.27798449993134,531.86706609011
IN,India,2011,-1.32679533958435,546.675890208969
IN,India,2012,-1.28930985927582,572.133085479526
IN,India,2013,-1.22917413711548,577.254621645988
IN,India,2014,-0.997911989688873,610.165371779455
IN,India,2015,-0.954773545265198,622.339883988149
IN,India,2016,-0.960426509380341,627.273531026365
IN,India,2017,-0.774099111557007,648.014718317903
IN,India,2018,-0.997706770896912,668.303370218852
IN,India,2019,-0.796846985816956,666.977347524506
IN,India,2020,-0.841419219970703,632.239828540427
IN,India,2021,-0.691076755523682,676.814293488143
IN,India,2022,-0.615027368068695,727.902200094024
IN,India,2023,-0.635076940059662,754.179577921116
US,,1990,,7669.4512686363
US,,1991,,7629.84715395512
US,,1992,,7675.63655553518
US,,1993,,7708.10161116809
US,,1994,,7755.08252133275
US,,1995,,7760.89035266192
US,United States,1996,0.935005784034729,7841.59288605808
US,,1997,,7825.23663798017
US,United States,1998,0.879612982273102,7800.439490719
US,,1999,,7920.05392329598
US,United States,2000,1.08280909061432,8055.14548852416
US,,2001,,7824.24393877407
US,United States,2002,0.285476922988892,7840.46095949898
US,United States,2003,0.0804403498768806,7791.30391526846
US,United States,2004,-0.233039826154709,7878.53717143427
US,United States,2005,-0.0605432577431202,7843.3910574627
US,United States,2006,0.49083548784256,7694.40657948116
US,United States,2007,0.374478042125702,7756.0141894981
US,United States,2008,0.582659542560577,7484.83268900712
US,United States,2009,0.447313606739044,7053.35846690965
US,United States,2010,0.438403934240341,7162.55933024159
US,United States,2011,0.591247260570526,7009.64607964907
US,United States,2012,0.632442116737366,6820.46062064875
US,United States,2013,0.643072605133057,6888.38143742637
US,United States,2014,0.582419633865356,6915.64165280321
US,United States,2015,0.662890195846558,6789.64733291075
US,United States,2016,0.385635316371918,6663.4963294418
US,United States,2017,0.262138307094574,6590.83509745633
US,United States,2018,0.38623908162117,6738.27272433986
US,United States,2019,0.118298575282097,6700.93033990565
US,United States,2020,-0.0278997328132391,6141.53125755889
US,United States,2021,-0.0144246527925134,6445.83409243358
US,United States,2022,0.00870068650692701,6511.68841394546
US,United States,2023,0.029424749314785,6363.50015820072
